"age","study_hours","self_study_hours","social_media_hours","gaming_hours","sleep_hours","screen_time_hours","mental_health_score","focus_index","burnout_level","productivity_score","exam_score"
"21","5.79","1.62","0.52","1.42","8.37","7.19","1","38.62","24.71","40.35","25.7"
"19","3.54","3.21","2.15","4.28","6.94","1.95","7","28.73","61.68","24.36","2.7"
"20","5.51","1.65","1.89","0.01","6.77","6.35","3","24.25","38.84","36.34","12.92"
"23","9.63","2.17","2.93","1.75","8.69","10.21","6","43.72","50.55","73.44","37.95"
"17","5.31","3.61","3.09","2.36","8.06","12.81","6","34.02","26.26","55.4","37.67"
"17","1.84","3.18","0.61","1.52","9.01","5.62","8","38.6","34.44","31.49","29.36"
"23","2.76","2.22","3.65","3.03","6.01","9.25","6","18.29","41.89","16.66","6.29"
"24","3.27","1.37","5.49","0.8","9.07","4.8","3","15.59","23.46","24.01","15.03"
"24","4.44","0.99","0.57","1.16","6.48","9.36","10","41.92","57.19","42.8","6.75"
"16","0.9","0.01","0.79","1.27","7.17","6.5","7","20.27","24.26","25.21","17.8"
"25","1.61","2.95","1.88","1.65","6.37","12.23","2","16.31","47.16","8.57","1"
"18","4.91","4.51","4.46","1.19","7.8","6.41","6","32.65","50.19","39.81","18.07"
"21","6.83","3.42","2.74","0.02","6.04","1.9","3","33.72","35.16","49.51","32.75"
"24","3.77","1.45","2.75","1.08","6.66","7.68","10","47.58","36.29","55.97","35.33"
"23","3.6","2.61","1.76","2.04","8.84","1.98","2","29.97","32.83","28.09","11.61"
"23","4.85","3.39","3.67","2.52","8.3","8.31","6","30.69","39.98","42.75","28.27"
"25","4.07","1.41","4.63","0.36","4.74","11.07","10","32.29","64","46.84","27.27"
"17","3.7","1.84","3.05","0.64","6.96","5.72","3","31.65","65.61","17.45","3.08"
"25","3.87","4.31","0","2.35","5.91","4.6","6","27.36","24.99","50.27","18.74"
"22","4.48","2.76","1.51","2.31","8","8.21","4","35.24","45.98","34.84","10.28"
"21","6.61","1.05","0","0.55","6.24","9.11","7","42.45","54.4","59.57","36.6"
"24","3.93","1.58","4.34","3.09","5.52","4.7","7","24.07","50.42","33.99","18.81"
"24","3.62","4.12","3","1.47","7.79","10.58","2","20.09","51.42","25.79","12.83"
"20","6.45","1.51","4.31","2.64","8.25","5.26","3","28.62","40.44","41.08","13.5"
"16","2.79","2.09","4.04","2.34","7.62","7.41","1","9.82","59.57","1","1"
"17","6.26","1.08","0.96","1.71","7.91","6.7","5","31.76","30.96","58.7","42.98"
"20","8.61","0.37","1.69","2.6","6.62","4.96","1","23.41","53.59","36.36","11.48"
"17","1.34","3.89","2.21","0","7.18","2.74","9","44.05","37.38","39.12","27.32"
"19","6.86","3.08","4.7","1.25","6.33","5.19","2","35.41","48.73","45.38","25.63"
"23","6.83","2.21","3.04","0.36","8.3","8.81","6","33","37.17","52.23","35.89"
"19","2.61","1.17","2.72","0.57","6.32","12.19","6","25.51","49.97","22.19","13.82"
"20","6.09","2.89","2.63","0.51","8.2","8.92","1","29.22","47.52","34.54","16.78"
"24","5.04","3.11","3.2","3.29","6.65","5.64","7","30.67","35.47","47.56","26.02"
"25","6.64","1","4.34","1.66","7.41","6.11","10","39.38","67.49","53.67","16.5"
"22","6.31","0.55","3.07","3.32","7.61","10.75","4","16.53","56.53","33.77","12.05"
"21","4.21","4.4","4.29","1.33","7.75","5.25","7","33.73","55.48","39.33","24.96"
"23","4.74","1.49","4.31","0.57","8.68","3.86","8","31.1","28.62","52.72","22.39"
"20","5.57","2.77","6.02","1.48","7.08","2.61","7","33.1","37.06","51.65","35.31"
"24","6.88","3.74","3.12","3.87","6.9","11.12","8","40.81","39.84","61.18","44.96"
"24","2.97","2.61","2.28","1.39","7.29","7.28","6","19.38","56.76","21.81","1"
"19","4.64","4.14","5.51","1.4","8.03","9.16","6","29.29","38.07","38.23","22.09"
"20","1.43","2.9","2.87","2.59","5.65","8.6","6","24.28","65.11","20.46","7.18"
"21","4.82","2.29","1.23","1.38","6.52","4.2","5","30.39","31.13","38.23","14.9"
"22","5.55","2.77","2.75","0","8.97","6.68","10","50.33","37.92","71.95","48.27"
"20","5.46","0.91","1.66","3.44","5.86","6.67","10","46.72","52.17","57.91","36.31"
"16","6.84","3.54","0.85","2.6","6.03","7.65","9","36.13","64.97","57.25","23.7"
"16","1.27","1.85","2.76","3.5","8.35","9.5","7","24.9","32.1","18.99","13.56"
"25","3.51","3.69","2.8","1.33","6.5","7.79","2","19.46","76.12","13.2","1"
"16","1.05","2.74","3.86","1.52","7.19","5.83","6","33.71","20.54","31.74","20.25"
"16","5.18","3.11","4.36","1.31","7.84","5.28","4","24.11","7.05","43.24","23"
"17","4.35","1.83","4.13","1.69","6.92","6.55","6","21.81","66.62","24.01","13.41"
"20","3.16","2.46","2.18","1.43","6.36","9.39","6","19.58","51.83","24.85","14.55"
"23","8.59","0.48","5.98","2.3","5.59","8.86","4","22.38","66.15","41.14","9.02"
"16","4.53","1.29","1.15","2.04","6.3","3.99","2","26.28","57.52","30.96","9.88"
"17","7.44","1.5","3.31","2.98","6.13","4.8","8","32.63","33.13","70.09","37.47"
"18","1.78","1.03","2.9","0.91","6.16","7.97","10","24.13","61.67","30.38","14.08"
"25","3.39","2.09","3.61","0","6.78","9.15","6","23.38","47.07","24.38","6.74"
"25","6.19","2.41","3.31","3.25","8.12","3.27","9","44.76","22.66","68.77","44.14"
"23","4.31","3.14","3.55","0","5.51","4.44","10","29.22","29.75","52.43","33.12"
"18","4.95","2.5","2.18","1.02","6.16","5.74","3","21.3","46.12","27.43","5.95"
"24","3.31","2.38","0.84","2.42","6.84","4.7","2","23.97","40.96","18.35","9.6"
"19","4.89","2.47","1.1","1.21","6.31","8.23","6","26.51","53.79","31.1","12.93"
"20","7.13","1.63","4.45","2.82","8.32","1","6","34.67","42.3","59.4","30.96"
"20","4.29","3.06","3.72","0.18","6.42","1.19","4","19.47","54.99","19.25","1"
"20","5.8","2.38","2.05","3.81","6.97","4.75","7","33.53","27.6","53.82","36.64"
"21","5.52","0.71","0.85","1.13","5.99","6.86","5","34.43","39.65","37.97","23.02"
"21","7.18","3.52","0.85","3.11","5.4","3.29","1","30.12","33.28","39.31","24.16"
"18","2.79","2.76","3.55","1.46","7.14","6.43","5","28.55","40.1","30.5","13.8"
"20","3.25","1.3","0.38","2.39","5.57","6.78","10","46.45","47.62","53.28","28.54"
"16","3.14","1.82","2.82","1.5","8.39","7.68","4","26.12","34.27","31.58","20.21"
"25","4.21","4.54","4.08","0.86","5.71","6.11","3","36.42","34.01","36.65","32.86"
"16","6.05","1.65","1.67","2.92","6.34","4.28","7","38.08","56.79","47.37","21.22"
"19","4.51","2.03","1.29","1.15","6.83","7.39","6","31.58","24.13","46.47","31.61"
"22","2.81","2.59","4.9","0","7.77","6.55","8","23.81","13.57","49.93","28.46"
"23","3.18","1.51","3.3","2.56","9.52","10.78","6","21.43","47.09","27.83","17.3"
"23","5.02","3.32","2.05","0","6.31","11.51","9","48.21","58.47","50.34","34.87"
"23","3.26","1.17","2.6","3.13","5.75","12.44","10","15.41","81.64","24.56","1"
"25","6.12","2.15","4.85","0","6.63","5.63","2","22.87","17.73","43.69","23.44"
"18","5.76","1.52","1.99","1.25","6.46","4.07","2","21.43","50.67","23.21","4.35"
"17","5.7","2.18","2.69","1.21","6.05","11.77","8","28.59","56.42","48.97","27.43"
"21","6.14","3.31","4","0.72","7.9","10.2","1","23.29","32.25","31.61","18.86"
"19","2.57","0","2.99","1.19","6.99","12.71","10","37.93","56.89","48.44","34.99"
"16","4.12","1.28","2.76","0.1","7.17","10.26","7","33.34","58.05","38.19","19.34"
"16","4.09","3.24","4.13","1.04","8.26","5.78","10","39.85","19.67","68.17","39.72"
"16","5.15","4.71","2.56","0","5.23","10.28","5","34.31","62.6","39.14","23.83"
"23","3.99","4.26","1.25","0.46","7.17","8.51","5","39.12","42.96","36.32","29.93"
"17","5.31","4","2.21","3.12","5.38","7.35","10","29.08","45.47","58.25","30.91"
"19","1.48","4.86","2.8","2.38","6.35","8.3","2","18.85","38.98","6.08","5.59"
"19","3.71","1.27","2.39","3.09","5.98","6.18","3","17.81","51.6","17.75","3.61"
"22","4.16","1.55","5.66","1.56","7.21","2.59","3","14.71","25.42","36.8","14.89"
"16","5.85","5.04","3.6","2.79","6.11","8.96","10","42.1","45.89","67.15","37.83"
"24","2.43","1.48","3.28","3.07","6.57","5.39","1","14.06","20.42","23.25","13.91"
"16","7.79","3.38","1.21","0.41","5.92","4.84","5","37.75","52.25","58.11","27.92"
"24","3.02","1.14","3.82","4.96","5.62","3.2","5","11.19","52.88","25.33","15.34"
"25","2.78","3.69","0.89","2.05","6.75","7.89","9","43.14","68.74","41.31","14.37"
"16","6.03","3.55","5.25","3.49","7.19","6.17","8","32.71","34.4","57.89","31.27"
"19","4.75","4.16","2.96","1.96","7.34","6.97","9","44.01","25.86","51.93","31.77"
"23","2.19","1.12","1.74","1.13","6.58","2.49","1","11.64","55.05","1","1"
"17","2.59","1.83","3.73","1.49","6.38","5.86","6","19.37","45.93","9.76","2.34"
"25","2.61","1.53","4.06","1.89","5.22","6.93","8","25.56","59.46","30.53","16.79"
"21","2.92","0.65","0.9","2.43","6.51","8.64","7","35.41","64.69","29.6","18"
"22","3.8","1.48","2.61","0","7.23","7.88","9","32.96","38.19","50.39","38.36"
"16","4.48","3.48","2.35","1.87","8.34","6.28","9","44.23","47.4","58.06","26.82"
"19","5.37","2.5","4.53","0.52","8.43","10.4","2","15.51","37.93","31.34","12.85"
"22","5.52","1.3","2.06","2.04","7.65","9.63","4","28.38","46.86","25.65","9.61"
"25","7.3","4.2","1.87","3.16","8.07","4.89","8","36.26","12.09","70.98","45.75"
"25","5.34","1.98","2.5","0.09","7.34","6.24","5","36.04","38.12","39.13","17.59"
"16","7.36","2.87","2.81","2.05","8.16","6.34","4","38.14","32.75","55.53","28.9"
"21","2.33","4.18","2.04","1.2","8.32","6.97","6","29.21","55.19","31.8","16.25"
"22","4.06","4.41","3.34","0.71","4.82","10.96","6","31.88","71.53","25.94","7.86"
"24","2.58","3.71","1.27","4.24","6.85","9.15","10","35.99","36.45","52.21","27.64"
"23","6.92","0.35","2.3","2.17","10","9.53","6","40.42","24.98","65.03","43.59"
"17","2.64","2.41","4.37","1.84","6.22","8.46","3","10.69","38.43","5.47","1"
"19","7.72","2.54","1.24","0.08","8.71","5.08","7","45.63","20.96","68.11","40.54"
"17","4.49","0","3.88","1.15","6.85","5.82","5","25.29","46.93","39.07","20.83"
"25","1.6","1.22","5.84","1.54","7.6","8.09","6","16.47","31.44","26.69","12.33"
"17","7.82","0.42","2.76","5.64","7.53","5.16","10","39.99","32.02","70.92","34.51"
"22","0.68","0","4.97","3.12","5.03","5.6","4","2.03","63.31","1","1"
"25","4.53","3.15","5.93","0","6.68","6.86","10","36.9","22.01","66.32","39.87"
"17","3.47","2.81","3.4","1.49","7.29","10.49","4","17.08","63.28","16.76","7.52"
"18","4.04","0.61","0.95","0","7.1","8.97","8","32.34","42.98","49.68","20.53"
"22","4.24","2.57","2.32","0","6.77","3.67","5","22.38","34.9","37","20.32"
"19","5.34","1.57","4.13","2.35","7.86","5.71","3","11.63","29.94","29.75","10.07"
"22","4.87","3.34","3.21","1.66","6.47","6.96","9","29.98","60.08","47.77","30.48"
"18","1.71","2.34","4.33","1.4","5.41","9.19","9","24.16","36.23","38.68","7.61"
"17","2.03","2.29","1.05","0.09","8.77","8.1","4","29.19","40.5","19.57","18.99"
"20","1.76","2.73","1.49","2.5","6.45","10.68","4","15.96","57.47","6.32","1"
"22","5.42","3.9","3.41","2.23","7.65","5.96","1","28.8","39.94","30.17","17.26"
"17","2.41","2.1","2.99","0.97","5.99","8.27","8","26.35","46.46","32.95","15.81"
"19","3.36","4.01","4.04","2.16","6.96","9.59","2","16.16","69.65","6.04","1"
"23","4.15","2.42","2.19","0.79","7.11","11.52","1","21.01","69.64","18.71","1"
"19","5.31","2.71","2.65","2.02","6.06","5.08","5","31.11","32.12","47.81","24.68"
"21","2.43","2.25","0.4","2.13","7.85","4.03","7","27.99","27.96","34.69","11.09"
"23","3.81","3.55","2.16","4.09","8.81","2.74","6","31.28","5.32","37.38","16.16"
"17","5.54","3.09","3.9","1.98","7.96","7.74","5","27.52","41.06","44.75","22.59"
"23","4.72","0.71","1.6","1.18","8.18","9.3","1","25.49","55.33","20.57","8.25"
"16","1.24","3.77","0.82","2.63","7.26","2.19","5","28.56","39.23","15.78","11.56"
"19","4.98","0.99","1.97","2.08","7.89","3.6","8","31.73","33.62","54.71","31.25"
"21","5.34","3.06","0.85","0.71","6.79","2.81","9","48.53","35.88","61.26","33.74"
"17","6.14","0.15","0","2.88","6.49","10.06","6","34.66","59.74","46.77","15.24"
"23","3.06","3.88","3.91","1.49","8.71","2.97","9","40.53","25.33","50.61","34.19"
"25","8.67","3.63","1.87","0.32","8.39","8.64","2","40.06","58.45","45.67","19.34"
"17","3.81","5.06","1.54","0","8.08","3.94","1","22.73","55.62","9.54","6.98"
"20","5.35","2.29","2.08","2.74","6.91","9.61","7","40.44","70.18","44.16","17.08"
"25","4.74","0.78","1.43","0.84","5.62","7.79","7","28.74","59.04","37.44","19.35"
"25","5.04","2.46","4.24","2.72","8.49","5.05","1","13.57","43.89","20.05","1.49"
"22","7.75","2.61","0","2","7.64","5.59","1","35.33","15.89","54.45","33.32"
"23","2.73","2.3","4.99","1.39","7.2","11.3","8","18.08","38.41","35.38","27.45"
"18","2.19","1.01","1.89","2.26","9.02","7.61","7","33.92","47.26","32.33","16.76"
"19","5.32","3.47","1.08","3.25","7.56","3.58","4","44.15","25.02","46.31","20.6"
"19","6.42","2.95","1.5","1.49","5.62","4.49","6","39.85","54.79","57.84","28.93"
"17","7.39","0.31","4.53","0.02","8.05","11.57","9","42.37","54.86","57.69","40.45"
"25","6.29","1.76","2.64","2.42","4.95","6.06","1","22.73","70.95","17.9","1"
"21","5.78","2.94","4.62","1.7","8.38","7.34","1","18.54","41.71","28.3","9.28"
"16","4.5","1.76","4.72","2.7","6.47","7.73","2","19.42","63.95","12.45","1.18"
"22","7.18","2.7","3.93","0.71","7.91","6.18","9","45.21","32.94","71.31","45.76"
"19","1.8","1.38","2.99","3.13","7.4","9.8","3","20.68","64.67","1.17","1"
"23","5.13","2.29","1.41","4.33","7.73","9.65","10","38.04","68.93","44.8","21.03"
"19","4.11","0.31","0.41","0.73","6.77","1","2","23.69","35.45","27.25","22.33"
"22","2.92","0.74","2.98","2.21","6.68","5.88","2","8.16","33.44","9.8","6.56"
"16","5.11","3.44","3.3","2.53","8.36","4.37","3","19.78","14.89","37.83","15.27"
"18","5.39","3.91","3.42","2.1","6.03","6.37","5","30.6","55.66","39.17","9.78"
"17","4.88","2.6","4.35","0","7.84","5.59","1","13.24","39.72","12.09","1"
"20","2.46","2.12","2.19","0","5.42","8.19","10","35.27","57.55","42.08","22.86"
"20","3.99","5.26","3.44","0","7.48","7.03","1","24.79","38.5","28.16","17.39"
"18","5.93","1.69","2.63","1.15","8.29","6.74","2","27.54","33.35","37.45","28.79"
"24","3.92","0.3","5.3","2.16","4.77","8.21","6","16.36","61.12","31.04","14.11"
"20","4.54","2.12","3.47","2.49","5.42","6.29","3","20.07","51.43","24.97","8.37"
"25","6.62","4.17","3.99","1.85","8.15","10.88","10","46.26","31.75","65.21","45.29"
"21","3.49","2.4","2.8","1.27","6.2","6.38","2","13.96","56.31","6.99","1"
"18","3.12","2.84","1.67","1.32","6.03","2.2","6","28.54","51.92","24.4","14.86"
"17","1.88","2.37","4.37","2.68","8.24","7.64","9","22.71","43.79","36.58","13.22"
"22","7.49","2.55","4.08","2.01","7.3","8.85","10","43.76","56.29","64.68","39.56"
"25","1.52","0.92","1.58","1.41","6.9","7.06","4","10.79","62.42","1.55","1"
"18","1.61","2.45","1.53","1.13","9.17","7.36","4","14.28","19.36","26.2","9.58"
"24","6.53","0.49","5.88","0.07","8.11","12.73","3","22.65","29.78","50.47","17.88"
"20","1.55","1.91","2.78","3.25","8.42","9.04","4","17.7","60.51","15.74","1"
"16","7.32","3.61","5.12","1.54","6.79","4.58","3","24.22","33","50.99","23.2"
"17","3.13","1.93","2.58","2.5","7.54","4.84","2","15.5","18.7","18.8","12.69"
"20","1.54","3.25","2.98","0","7.35","5.76","2","15.2","34.58","8.22","1"
"20","2.22","2.37","1.6","2.03","5.89","5.51","3","22.56","70.62","11.23","1"
"20","3.67","2.73","2.29","0.16","7.47","9.78","7","33.87","59.28","39.1","13.78"
"17","3.3","4.46","0","0.93","8.05","3.72","5","37.1","26.26","34.42","27.32"
"17","3.07","1.43","2.83","0","7.45","10.2","3","19.7","45.52","23.76","4.97"
"25","5.39","2.48","3.1","3.7","5.14","8.79","6","28.01","54.3","35.49","17.89"
"20","4.39","0","3.16","1.9","5.81","1.45","6","33.12","35.65","33.12","29.57"
"25","4.89","1.52","4.04","0","6.84","5.61","4","26.85","51.19","26.83","12.91"
"22","4.33","2.47","0.91","1.39","7.79","4.4","6","30.9","37.84","43.14","31.1"
"17","4.48","1.62","3.33","2.58","6.68","9.46","8","31.69","34.36","55.91","28.75"
"22","3.6","4.2","4.04","3.28","7.24","8.8","8","32.93","53.71","40.8","14.66"
"23","5.01","3.25","4.88","2.29","4","10.33","8","30.04","73.79","41.52","20.75"
"18","4.99","4.16","3.83","2.05","8.64","2.88","4","32.01","28.5","40.94","26.64"
"20","4.21","3.1","6.19","0.65","7.31","10.74","3","26.53","50.69","23.79","10.27"
"25","1","2.1","4.77","2.77","7.11","8.65","8","19.49","50.8","24.03","6.49"
"18","5.68","0.2","2.12","0.85","6.94","13.17","7","34.67","85.41","31.13","14.9"
"25","4.76","2.28","3.88","1.97","7.36","6.79","7","27.2","45.59","31.56","18.32"
"24","4.9","1.25","4.68","0.93","5.88","5.99","9","36.02","47.38","50.36","28.77"
"20","7.27","2.27","4.47","3.03","7.01","8.66","6","39.3","50.07","56.5","30.99"
"23","6.41","5.01","2.06","1.59","7.3","9.62","4","45.84","34.2","60.15","32.2"
"19","4.89","2.99","4.89","0.31","7.32","10.46","7","37.59","38.79","47.09","34.16"
"16","4.01","4.12","3.7","0.34","8.45","5.7","1","31.01","24.41","37.14","22.05"
"19","8.29","1.07","4.19","2.38","6.59","9.21","1","22.96","68.55","30.67","11.15"
"22","5.38","2.29","4.46","2.69","5.48","9.67","2","13.85","64.48","20.08","1"
"23","1.94","3.61","4.02","1.73","5.58","6.43","2","9.34","47.53","5.01","1"
"17","4.94","1.91","4.72","1.44","6.59","11.54","1","17.25","62.99","17.11","1"
"19","3.71","1.88","3.27","1.35","6.25","1.75","7","30.2","54.87","42.57","16.72"
"20","3.83","2.1","1.93","0.96","9.45","8.33","7","40.19","18.59","55.89","34.01"
"22","6.9","2.26","3.9","2.9","6.26","7.58","1","15.14","53.54","33.07","10.83"
"16","6.77","1.69","3.31","0.65","6.93","9.88","9","39.38","72.62","49.42","18.27"
"25","3.27","2.82","5.19","2.39","7.39","6.89","3","15.94","46.59","13.68","5.55"
"18","5.05","2.1","4.88","4.04","5.29","7.96","6","19.15","65.45","35.49","5.14"
"22","5.3","1.59","2.52","0.55","4.93","9.72","7","27.76","69.71","33.1","10.51"
"19","4.74","2.24","2.24","3.06","5.22","9.98","8","26.12","58.45","38.48","11.53"
"23","3.52","4.23","4.48","2.99","7.75","3.76","3","21","31.61","26.75","8.76"
"25","7.15","2.85","2.97","1.64","7.54","8.5","2","39.51","43.58","39.5","22.65"
"25","2.21","4.29","3.01","0","6.39","4.73","6","25","61.91","14.25","7.2"
"22","4.72","3.13","5.63","3.19","7.43","8.15","1","14.16","43.24","11.24","1"
"16","4.08","2.06","3.26","1.59","8.3","7.31","2","25.48","36.6","19.73","14.42"
"24","5.13","1.95","4.46","0","7.38","4.62","2","20.67","30.62","24.02","14.37"
"17","4.04","2.22","1.12","3.46","8.53","12.7","9","36.04","52.89","41.81","21.46"
"25","1.75","3.01","4.4","2.41","7.04","7.26","6","16.05","61.99","7.32","4.1"
"19","4.2","2.71","5.16","0.26","8.12","3.17","8","38.26","26.13","57.13","28.78"
"22","1.86","1.91","4.26","3.36","6.97","7.17","7","22.21","29.36","28.1","14.57"
"20","4.76","3.42","1.73","0","8.06","3.37","7","39.75","36.08","52.61","37.52"
"21","4.86","2.38","2.95","1.25","5.02","3.45","9","38.43","37.32","48.17","39.53"
"17","2.46","1.77","2.71","1.61","8.07","8.04","8","29.52","39.52","42.03","16.76"
"24","5.47","3.44","4.42","2.35","6.31","10.31","3","28.96","59.75","22.85","2.47"
"21","6.21","3.03","2.59","1.18","7.21","5.38","6","32.96","39","44.5","31.2"
"22","3.87","1.31","1.15","1.9","7.91","9.97","9","36.41","61.47","36.92","14.48"
"18","4.86","2.37","1.25","1.58","5.97","4.75","2","22.41","49.03","18.41","4.45"
"20","5.87","3.1","2.71","2.04","7.34","8.12","4","39.26","53.45","42.6","28.19"
"22","4.76","3.31","1.65","0.63","8.12","6.79","10","46.5","47.35","56.36","31.51"
"24","4.39","1.87","3.08","3.06","6.74","6.52","4","22.13","50.44","23.44","16.74"
"17","8.26","0.82","2.2","2.69","5.22","10.39","2","27.11","63.88","40.24","17.03"
"23","9.57","3.06","3.05","0","6.74","4.87","2","38.2","30.7","56.21","34.31"
"20","4.34","1.57","1.7","1.45","7.54","8.1","1","28.28","26.83","34.96","18.84"
"25","5.93","2.75","4.77","3.65","7.85","5.99","9","35.68","42.84","65.81","41.51"
"25","4.57","2.43","3.13","3.3","9.22","8.73","5","27.41","13.91","47.5","33.16"
"18","4.2","1.47","4.38","1.98","6.17","8.78","3","18.9","42.5","23.95","5.62"
"16","7.57","1.07","2.95","2.21","6.21","4.06","2","21.57","36.49","35.97","18.67"
"16","5.77","1.96","2.1","0.21","6.42","7.52","6","28.62","57.22","47.76","22.73"
"19","3.76","0.66","4.38","1.22","6.15","5.71","6","20.7","40.4","27.18","6.09"
"20","4.57","3.35","4.76","2.3","7.67","7.7","8","31.82","21.89","55.54","26.78"
"25","7.38","2.83","1.39","2.25","7.25","10.52","1","26.9","60.51","35.32","12.54"
"20","2.66","0.53","6.18","0.56","6.17","2.91","7","13.76","60.01","22.13","4.54"
"18","4.06","1.06","4.53","2.42","5.25","5.27","2","10.12","50.35","4.36","1"
"17","2.76","2.69","4.3","4.17","6.68","5.35","8","22.71","54.36","31.37","11.63"
"24","3.02","1.21","2.88","0","7.72","4.75","10","34.18","37.79","51.51","32.16"
"18","4.53","3.65","2.9","1.2","6.26","5.75","5","28.61","51.32","36.57","13.68"
"22","2.55","3.41","2.33","0.52","4.69","5.3","5","21.28","60.79","13.15","3.51"
"20","4.74","3.62","2.63","0","5.59","3.02","8","42.45","45.05","55.69","33.01"
"25","2.62","3.1","3.9","1.4","7.49","5.04","7","26.22","28.7","36.24","17.1"
"20","6.57","2.13","4.11","1.99","7.9","6.59","6","27.32","51.83","52.49","20.49"
"22","8.29","2.18","2.15","0.05","7.22","8.5","10","54.26","47.94","83.2","50.83"
"25","1.02","1.03","3.08","0.41","6.27","8.6","7","21.08","48.72","18.62","1"
"23","4.32","3.98","0","1.18","7.04","10.27","10","47.14","47.81","53.04","37.01"
"16","1.96","2.72","4.09","2.27","10","5.79","10","31.27","17.85","49.09","26.91"
"23","6.55","1.93","2.44","0.48","8.02","8.55","6","43.79","23.52","62.52","41.75"
"18","6.67","5.07","4.28","3.73","5.84","7.67","4","37.28","50.54","48.9","31.75"
"22","5.22","1.41","4.57","1.36","8.42","6.39","10","30.18","47.53","56.62","21.73"
"18","4.9","4.69","4","1.45","7.78","6.83","2","25.43","47.68","32.02","10.78"
"17","4.26","2.6","0.64","1.66","6.17","4.26","9","38.75","26.56","51.39","20.87"
"18","5.58","2.56","1.28","0.58","6.4","7.84","3","28.46","48.42","32.97","8.63"
"22","10.52","1.11","2.71","0.69","6.53","6.94","5","34.8","26.73","86.22","52.22"
"17","7.87","2.95","0.79","0.89","8.09","2.66","10","52.18","16.26","83.55","54.41"
"25","5.29","1.8","3.07","2.1","7.86","9.71","8","37.05","17.42","56.7","35.76"
"24","7","2.76","1.99","3.25","8.76","4.92","10","41.21","31.4","74.99","34.91"
"25","2.93","3.38","5.14","1.03","8.07","7.02","1","8.79","49.03","9.19","1"
"16","2.29","1.25","5.4","0","9.65","5.91","10","32.65","28.2","34.32","27.89"
"17","8.14","4.04","3.01","1.81","6.37","10.18","8","42.52","42.04","72.16","41.87"
"21","2.64","2.15","2.67","0","7.99","7.54","3","22.66","30.48","26.68","13.81"
"20","3.61","3.26","2.18","1.13","4","6.81","2","29.54","81.7","13.5","1"
"22","5.43","2.87","3.74","0.35","5.57","11.15","7","38.94","66.89","46.34","15.2"
"19","3.91","2.1","1.63","1.4","6.49","1","9","36.48","22.7","52.5","32.44"
"24","3.16","1.6","5.15","1.4","6.7","12.38","1","9.31","82.77","1.35","1"
"23","3.16","2.57","4.11","1.56","8.25","10.63","4","22.14","22.24","24.45","10.39"
"18","5.65","2.54","2.16","0.31","7.66","8.78","8","43.92","50.95","52.17","23.21"
"16","5.71","3.52","1.92","2.27","5.86","10.68","3","27.27","84.16","25.17","7.13"
"17","5.25","2.84","3.18","1.08","7.67","9.4","7","39.8","53.18","59.63","36.86"
"20","3.56","4.09","2.16","2.43","7.63","4.79","2","25.38","33.13","21.2","1.59"
"16","4.84","2.88","2.25","2.44","6.9","7.23","3","27.4","51.45","33.88","16.84"
"22","3.79","2.42","1.91","2.2","7.55","10.86","8","33.11","54.51","37.41","10.28"
"24","2.5","2.85","2.93","1.31","5.09","2.77","5","22.41","70.01","12.83","5.94"
"24","4.96","4.14","6.47","2.36","7","4.47","6","20.8","37.93","37.63","5.4"
"23","8.35","2.11","3.85","0","7.85","5.7","6","35.62","30.58","61.85","38.74"
"16","5.46","2.96","2.45","1.59","6.65","6.93","8","50.54","36.5","57.46","39.71"
"17","3.16","2.91","4.49","2.57","6.35","8.67","4","32.06","53.13","28.54","3.04"
"21","4.78","2.92","3.21","1.83","8.41","2.36","3","20.82","46.39","25.4","8.84"
"21","0.44","2.37","3.89","2.36","6.35","9.28","3","5.79","48.95","1","1"
"18","5.47","1.8","4.67","0.5","5.88","3.84","8","30.15","32.93","60.54","27.37"
"17","4.21","3.84","4.29","1.84","7.17","8.28","7","26.83","47.1","45.43","23.24"
"20","5.94","2.38","4.48","3.4","7.43","6.32","9","30.33","46.37","62.93","28.41"
"22","4.1","4.67","3","0","7.59","9.05","5","35.27","61.36","33.07","1.57"
"25","1.94","3.17","2.69","0","7.98","6","6","34.33","32.73","31.76","17.02"
"23","6.58","1.75","5.29","3.01","6.24","10.83","8","28.29","44.76","61.06","33.35"
"17","3.61","2.69","0.73","0.24","8.07","8.05","8","42.54","64.51","40.83","15.23"
"22","2.8","1.74","3.69","1.53","8.44","10.12","10","29.61","53.93","37.21","20.5"
"19","3.8","2.81","0.24","0.64","8.54","5.67","9","38.45","35.04","54.42","27.41"
"22","3.76","2.63","4.03","4.18","5.22","8.07","8","18.76","72.78","28.27","1.39"
"16","4.96","4.73","0.78","1.73","6.44","8.69","8","47.7","59.15","50.27","24.36"
"23","3.58","3.67","4.05","2.86","8.46","10.13","3","26.36","56.07","30.14","9.01"
"22","5.74","2.93","2.24","0","5.44","6.55","3","22.62","52.44","37.81","15.28"
"22","7.83","1.33","3.13","1.23","5.8","3.3","1","26.39","69.67","30.05","8.95"
"16","4.92","0.19","2.15","2.94","6.08","10.05","5","15","45.89","26.3","13.42"
"19","5.27","2.94","0.23","4.11","5.62","6.77","3","27.99","37.17","34.77","19.87"
"21","3.89","1.37","0","2.53","6.45","8.34","5","34.29","50.22","33.97","4.55"
"18","4.92","2.92","0","5.06","8.49","8.31","8","38.81","17.98","58.26","46.48"
